mission_id,profile_id,structured_score,semantic_score,business_score,final_score,explanation_tags
19,96,0.83,0.2514,0.72,0.5766,Airflow match | NLP match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector energie | Domain aligned
19,82,0.9775,0.0817,0.75,0.5737,NLP match | Terraform match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector energie
19,322,0.886,0.2864,0.4655,0.5621,Airflow match | NLP match | Tableau match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Domain aligned
19,129,0.82,0.1056,0.9,0.5503,NLP match | Tableau match | Language compatible | Available in 15 days | Rate within budget | Sector energie | Domain aligned
19,204,0.826,0.1891,0.6582,0.5377,Seniority compatible | Language compatible | Available in 30 days | Sector energie | Domain aligned
20,164,0.846,0.2138,0.9576,0.6154,AWS match | Azure match | Python match | Seniority compatible | Language compatible | Available in 15 days | Sector industrie | Domain aligned
20,78,0.83,0.1826,0.9667,0.5984,AWS match | Azure match | Python match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector industrie | Domain aligned
20,279,0.88,0.1386,0.8733,0.5821,Python match | SIEM match | SQL match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector industrie | Domain aligned
20,219,0.93,0.2271,0.55,0.5728,Azure match | Python match | SIEM match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Domain aligned
20,250,0.83,0.1424,0.9067,0.5703,AWS match | Azure match | Python match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector industrie | Domain aligned
20,147,0.97,0.145,0.5833,0.5627,AWS match | Python match | SIEM match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
20,306,0.91,0.2282,0.5233,0.5599,AWS match | Python match | SIEM match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
20,185,0.92,0.2216,0.4967,0.556,AWS match | Azure match | Python match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Domain aligned
20,132,0.74,0.1773,0.9067,0.5483,Azure match | Python match | SIEM match | Language compatible | Available in 30 days | Rate within budget | Sector industrie | Domain aligned
20,280,0.801,0.19,0.704,0.5372,Python match | SQL match | Seniority compatible | Language compatible | Available in 15 days | Sector industrie | Domain aligned
21,222,0.9775,0.2869,0.6286,0.6315,FastAPI match | Snowflake match | Spark match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
21,61,0.9475,0.2395,0.65,0.6048,Airflow match | Spark match | dbt match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
21,155,0.91,0.1009,0.94,0.5924,FastAPI match | Spark match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector industrie | Domain aligned
21,322,0.9475,0.1276,0.8,0.59,Airflow match | Snowflake match | dbt match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector industrie | Domain aligned
21,324,0.9475,0.1212,0.8,0.5875,Airflow match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector industrie | Domain aligned
21,57,0.815,0.2517,0.7621,0.5791,Airflow match | Snowflake match | Spark match | Seniority compatible | Language compatible | Location compatible | Sector industrie | Domain aligned
21,278,0.82,0.136,0.94,0.5704,Airflow match | Snowflake match | Spark match | Language compatible | Available in 30 days | Rate within budget | Sector industrie | Domain aligned
21,159,0.82,0.1058,1.0,0.5703,FastAPI match | Spark match | Language compatible | Available in 15 days | Rate within budget | Sector industrie | Domain aligned
21,251,0.9475,0.2519,0.45,0.5698,Airflow match | FastAPI match | Snowflake match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
21,238,0.86,0.1411,0.8128,0.563,Snowflake match | Spark match | dbt match | Seniority compatible | Language compatible | Location compatible | Sector industrie | Domain aligned
22,94,0.87,0.1754,0.8965,0.5975,AWS match | Azure match | GCP match | Seniority compatible | Language compatible | Available in 30 days | Sector sante | Domain aligned
22,11,0.97,0.1237,0.65,0.5675,AWS match | Azure match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector sante
22,25,0.97,0.1718,0.55,0.5667,Azure match | GCP match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
22,100,0.9275,0.1937,0.59,0.5665,AWS match | Azure match | GCP match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector sante
22,286,0.8875,0.1378,0.75,0.5601,AWS match | Azure match | GCP match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector sante
22,308,0.88,0.1614,0.71,0.5586,AWS match | Azure match | GCP match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector sante
22,142,0.9475,0.2461,0.4,0.5574,AWS match | Azure match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget
22,237,0.9475,0.0915,0.67,0.5496,Azure match | Python match | Terraform match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector sante
22,192,0.9475,0.1269,0.59,0.5478,AWS match | Azure match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
22,272,0.8575,0.2498,0.5219,0.5473,AWS match | Azure match | GCP match | Seniority compatible | Language compatible | Rate within budget | Domain aligned
23,120,0.76,0.2598,0.96,0.5999,AWS match | DevOps match | GCP match | Language compatible | Available in 15 days | Rate within budget | Sector industrie | Domain aligned
23,257,0.8975,0.1206,0.86,0.5793,AWS match | GCP match | SIEM match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector industrie | Domain aligned
23,142,0.88,0.186,0.67,0.5604,AWS match | DevOps match | GCP match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector industrie
23,78,0.85,0.0842,0.92,0.5577,AWS match | GCP match | SIEM match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector industrie | Domain aligned
23,291,0.85,0.1073,0.862,0.5553,AWS match | SIEM match | Terraform match | Seniority compatible | Language compatible | Available in 15 days | Sector industrie | Domain aligned
23,59,0.83,0.2296,0.65,0.5538,DevOps match | GCP match | SIEM match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector industrie
23,250,0.8,0.0828,0.86,0.5251,AWS match | GCP match | Terraform match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector industrie | Domain aligned
23,113,0.8475,0.1881,0.55,0.5242,AWS match | DevOps match | GCP match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector industrie
23,266,0.86,0.1192,0.61,0.5137,AWS match | DevOps match | GCP match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector industrie
23,161,0.8875,0.0618,0.63,0.5057,AWS match | Spark match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector industrie
24,71,0.97,0.1194,0.92,0.6198,Azure match | Kubernetes match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector telecom | Domain aligned
24,105,0.9235,0.1643,0.92,0.6191,AWS match | Azure match | Kubernetes match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector telecom | Domain aligned
24,275,0.871,0.187,0.9011,0.6034,AWS match | Azure match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector telecom | Domain aligned
24,200,0.836,0.2148,0.7643,0.5732,AWS match | Azure match | Docker match | Seniority compatible | Language compatible | Location compatible | Sector telecom | Domain aligned
24,308,0.916,0.1722,0.6075,0.5568,AWS match | Azure match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Domain aligned
24,327,0.836,0.1709,0.7697,0.5567,AWS match | Azure match | Docker match | Seniority compatible | Language compatible | Location compatible | Sector telecom | Domain aligned
24,281,0.847,0.1554,0.7784,0.5566,AWS match | Azure match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Sector telecom | Domain aligned
24,306,0.97,0.1279,0.57,0.5531,AWS match | Python match | React match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector telecom
24,328,0.7825,0.254,0.65,0.5446,AWS match | Azure match | Docker match | Seniority compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
24,123,0.946,0.0885,0.65,0.5438,AWS match | Docker match | Kubernetes match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector telecom
25,78,0.94,0.1308,0.9701,0.6223,AWS match | IAM match | SIEM match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector telecom | Domain aligned
25,208,0.94,0.3485,0.5174,0.6189,IAM match | SIEM match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Domain aligned
25,147,0.9475,0.2419,0.5833,0.5924,AWS match | C# match | SIEM match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
25,58,0.91,0.2504,0.59,0.5822,AWS match | C# match | IAM match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Domain aligned
25,120,0.8875,0.104,0.9109,0.5788,AWS match | SIEM match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector telecom | Domain aligned
25,145,0.77,0.2535,0.8133,0.5721,IAM match | SIEM match | Language compatible | Rate within budget | Sector telecom | Domain aligned
25,131,0.86,0.1251,0.88,0.57,AWS match | IAM match | SIEM match | Seniority compatible | Language compatible | Rate within budget | Sector telecom | Domain aligned
25,174,0.82,0.2629,0.65,0.5632,AWS match | IAM match | SIEM match | Language compatible | Available in 15 days | Rate within budget | Domain aligned
25,306,0.74,0.1534,0.94,0.5454,AWS match | IAM match | SIEM match | Language compatible | Available in 30 days | Rate within budget | Sector telecom | Domain aligned
25,275,0.9475,0.08,0.6629,0.5436,AWS match | IAM match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector telecom
26,84,0.886,0.1947,0.7161,0.5755,Azure match | Docker match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector public
26,20,0.8475,0.1444,0.88,0.5728,Azure match | Docker match | GCP match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector public | Domain aligned
26,207,0.8375,0.1275,0.7533,0.5367,Azure match | Docker match | Java match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector public | Domain aligned
26,328,0.97,0.0802,0.5833,0.5367,Azure match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
26,302,0.76,0.1869,0.75,0.5288,Azure match | Docker match | GCP match | Seniority compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
26,110,0.841,0.1732,0.596,0.5249,Azure match | Docker match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector public
26,8,0.95,0.1,0.5233,0.5247,Docker match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
26,223,0.821,0.1028,0.7344,0.5164,Docker match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Sector public | Domain aligned
26,31,0.97,0.031,0.55,0.5104,Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
26,176,0.97,0.0294,0.55,0.5097,Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
27,308,0.9775,0.1205,0.746,0.5884,Python match | SAP match | Tableau match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector sante
27,75,0.73,0.3055,0.82,0.5782,FastAPI match | Python match | React match | Seniority compatible | Location compatible | Rate within budget | Sector sante | Domain aligned
27,31,0.88,0.1005,0.9,0.5722,Python match | React match | Tableau match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector sante | Domain aligned
27,289,0.87,0.1576,0.78,0.567,Java match | Python match | React match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector sante | Domain aligned
27,348,0.82,0.301,0.59,0.5664,FastAPI match | Python match | React match | Seniority compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
27,124,0.82,0.3333,0.49,0.5593,FastAPI match | Java match | Python match | Seniority compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
27,274,0.87,0.2496,0.55,0.5578,FastAPI match | Java match | Python match | Seniority compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
27,303,0.88,0.2884,0.45,0.5574,FastAPI match | Java match | React match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
27,260,0.83,0.2813,0.49,0.5425,FastAPI match | Java match | Python match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
27,203,0.9275,0.1,0.59,0.529,FastAPI match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector sante
28,275,0.78,0.2306,1.0,0.6042,AWS match | Azure match | Docker match | Location compatible | Available in 15 days | Rate within budget | Sector assurance | Domain aligned
28,296,0.7575,0.3025,0.8485,0.5937,AWS match | Docker match | Python match | Seniority compatible | Available in 30 days | Rate within budget | Sector assurance | Domain aligned
28,200,0.72,0.3131,0.88,0.5892,AWS match | Azure match | Docker match | Language compatible | Rate within budget | Sector assurance | Domain aligned
28,345,0.9275,0.1952,0.59,0.5671,AWS match | Azure match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
28,281,0.92,0.1909,0.59,0.5624,AWS match | Azure match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
28,299,0.791,0.2125,0.8001,0.5614,AWS match | Azure match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Sector assurance | Domain aligned
28,308,0.88,0.197,0.65,0.5608,AWS match | Azure match | Docker match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
28,105,0.81,0.1502,0.88,0.5601,AWS match | Azure match | Location compatible | Available in 15 days | Rate within budget | Sector assurance | Domain aligned
28,142,0.8475,0.2327,0.61,0.5541,AWS match | Azure match | GCP match | Seniority compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
28,46,0.76,0.3193,0.59,0.5497,AWS match | Azure match | Docker match | Location compatible | Available in 30 days | Rate within budget | Domain aligned
29,203,0.88,0.2261,0.89,0.6204,Databricks match | FastAPI match | NLP match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector sante | Domain aligned
29,251,0.7825,0.255,0.85,0.585,Databricks match | FastAPI match | dbt match | Seniority compatible | Location compatible | Available in 15 days | Rate within budget | Sector sante | Domain aligned
29,117,0.94,0.256,0.4864,0.5757,Databricks match | FastAPI match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Domain aligned
29,312,0.6725,0.2804,0.78,0.5371,Databricks match | FastAPI match | NLP match | Location compatible | Rate within budget | Sector sante | Domain aligned
29,194,0.8875,0.1262,0.64,0.5335,Databricks match | NLP match | Python match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector sante
29,233,0.8075,0.2501,0.5493,0.5329,Databricks match | FastAPI match | Python match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Domain aligned
29,154,0.9075,0.1591,0.5269,0.532,Databricks match | NLP match | Python match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Domain aligned
29,125,0.8,0.2259,0.6023,0.5308,FastAPI match | NLP match | Tableau match | Seniority compatible | Language compatible | Location compatible | Sector sante | Domain aligned
29,138,0.9475,0.1052,0.5225,0.5256,FastAPI match | NLP match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
29,16,0.85,0.2074,0.49,0.521,FastAPI match | IAM match | Python match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
30,38,1.0,0.212,0.7,0.6248,Airflow match | Power BI match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
30,324,0.9475,0.0669,0.85,0.5758,Airflow match | SQL match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
30,323,0.88,0.1819,0.7,0.5648,Power BI match | Python match | SQL match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
30,209,0.91,0.1748,0.5736,0.5486,Power BI match | Python match | Snowflake match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector public
30,305,0.91,0.1351,0.64,0.546,Power BI match | Python match | SQL match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector public
30,269,0.8875,0.1789,0.58,0.5425,Airflow match | Power BI match | Python match | Seniority compatible | Language compatible | Rate within budget | Sector public
30,203,0.88,0.0483,0.84,0.5393,Python match | SQL match | Snowflake match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector public | Domain aligned
30,281,0.9475,0.0753,0.64,0.5371,Azure match | Power BI match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector public
30,176,0.68,0.1596,0.95,0.5258,Airflow match | Power BI match | Python match | Language compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
30,349,0.82,0.1698,0.64,0.5239,Airflow match | Power BI match | Python match | Language compatible | Available in 30 days | Rate within budget | Sector public
31,141,0.9,0.303,0.76,0.6332,AWS match | DevOps match | Docker match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector energie | Domain aligned
31,299,0.836,0.2746,0.822,0.6087,AWS match | DevOps match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Sector energie | Domain aligned
31,281,0.92,0.2911,0.55,0.5944,AWS match | DevOps match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
31,223,0.83,0.3707,0.55,0.5903,AWS match | DevOps match | Docker match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
31,211,0.8735,0.1348,0.8872,0.5808,AWS match | DevOps match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector energie | Domain aligned
31,8,0.77,0.2143,0.86,0.5657,AWS match | Docker match | GCP match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector energie | Domain aligned
31,59,0.92,0.2044,0.47,0.5438,DevOps match | GCP match | Kubernetes match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
31,308,0.88,0.1546,0.61,0.5359,AWS match | DevOps match | Docker match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
31,345,0.78,0.2817,0.55,0.5347,AWS match | DevOps match | Docker match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Domain aligned
31,147,0.88,0.0993,0.71,0.5337,AWS match | GCP match | Kubernetes match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector energie
32,336,0.97,0.2654,0.89,0.6722,Docker match | Python match | React match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector banque | Domain aligned
32,210,0.9075,0.1726,0.69,0.57,Docker match | MLOps match | Python match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector banque
32,30,0.801,0.1428,0.8578,0.5491,Docker match | MLOps match | Python match | Seniority compatible | Language compatible | Available in 15 days | Sector banque | Domain aligned
32,97,0.86,0.2757,0.42,0.5383,Docker match | Python match | React match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Domain aligned
32,45,0.9475,0.0715,0.65,0.5376,MLOps match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector banque
32,308,0.9475,0.0707,0.65,0.5373,Docker match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector banque
32,242,0.8835,0.2204,0.4745,0.5365,Python match | React match | SQL match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Domain aligned
32,237,0.841,0.2442,0.497,0.5335,Docker match | Python match | React match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Domain aligned
32,213,0.821,0.1436,0.7309,0.532,Docker match | Python match | React match | Seniority compatible | Language compatible | Location compatible | Sector banque | Domain aligned
32,303,0.91,0.1301,0.55,0.5261,Docker match | React match | SQL match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
33,31,0.95,0.1683,0.6833,0.584,Python match | SQL match | Snowflake match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
33,128,0.95,0.1069,0.6833,0.5594,Databricks match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
33,203,0.786,0.1521,0.8985,0.5549,Databricks match | FastAPI match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Sector public | Domain aligned
33,43,0.8535,0.0842,0.8586,0.5468,Databricks match | Python match | Snowflake match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector public | Domain aligned
33,334,0.86,0.0719,0.8133,0.5354,FastAPI match | Python match | SQL match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector public | Domain aligned
33,90,0.776,0.12,0.8556,0.5295,Databricks match | FastAPI match | SQL match | Seniority compatible | Language compatible | Available in 15 days | Sector public | Domain aligned
33,176,0.78,0.0753,0.9333,0.5288,Python match | SQL match | Snowflake match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
33,66,0.7875,0.1341,0.7533,0.5193,Databricks match | FastAPI match | SQL match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector public | Domain aligned
33,265,0.77,0.0806,0.88,0.5162,Databricks match | Python match | SQL match | Seniority compatible | Language compatible | Rate within budget | Sector public | Domain aligned
33,302,0.9275,0.0462,0.6167,0.5128,Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
34,164,0.9775,0.1119,0.95,0.6257,AWS match | SQL match | Terraform match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector assurance | Domain aligned
34,104,0.8875,0.1045,0.83,0.5628,AWS match | SQL match | Terraform match | Seniority compatible | Language compatible | Rate within budget | Sector assurance | Domain aligned
34,11,0.97,0.09,0.64,0.552,AWS match | Kubernetes match | Terraform match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector assurance
34,78,0.82,0.0723,0.95,0.5469,AWS match | Kubernetes match | SQL match | Language compatible | Available in 15 days | Rate within budget | Sector assurance | Domain aligned
34,274,0.91,0.0803,0.65,0.5261,SQL match | Terraform match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector assurance
34,296,0.9075,0.1076,0.566,0.5192,AWS match | Kubernetes match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector assurance
34,134,0.95,0.0862,0.52,0.5185,AWS match | Kubernetes match | Terraform match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector assurance
34,297,0.88,0.1375,0.53,0.513,AWS match | Kubernetes match | Language compatible | Location compatible | Rate within budget | Sector assurance
34,117,0.94,0.0426,0.5891,0.5109,SQL match | Terraform match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector assurance
34,192,0.9475,0.0589,0.54,0.5105,AWS match | SQL match | Terraform match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
35,142,0.841,0.1545,0.8587,0.57,GCP match | Python match | Terraform match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector industrie | Domain aligned
35,59,0.841,0.1641,0.8037,0.5628,GCP match | Kubernetes match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Sector industrie | Domain aligned
35,308,0.97,0.1202,0.6,0.5561,GCP match | Kubernetes match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
35,275,0.9475,0.1264,0.6,0.5496,GCP match | Kubernetes match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
35,84,0.83,0.1889,0.7,0.5476,GCP match | Kubernetes match | Python match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector industrie
35,8,0.88,0.0612,0.84,0.5445,GCP match | Terraform match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector industrie | Domain aligned
35,171,0.9475,0.1146,0.59,0.5428,Kubernetes match | Terraform match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector industrie
35,223,0.9475,0.1251,0.54,0.537,GCP match | Kubernetes match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
35,70,0.83,0.0787,0.83,0.5295,GCP match | Python match | Terraform match | Language compatible | Location compatible | Rate within budget | Sector industrie | Domain aligned
35,327,0.7575,0.1365,0.83,0.5236,GCP match | Kubernetes match | Terraform match | Seniority compatible | Language compatible | Rate within budget | Sector industrie | Domain aligned
36,38,0.86,0.1741,1.0,0.6136,GCP match | SAP match | SQL match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector sante | Domain aligned
36,209,0.8975,0.165,0.9333,0.6116,GCP match | SAP match | Snowflake match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector sante | Domain aligned
36,349,0.81,0.1885,0.8733,0.5741,SAP match | SQL match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector sante | Domain aligned
36,194,0.81,0.1758,0.8733,0.569,SAP match | SQL match | Snowflake match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector sante | Domain aligned
36,285,0.7325,0.2451,0.8667,0.5644,SAP match | Snowflake match | Seniority compatible | Location compatible | Available in 15 days | Rate within budget | Sector sante | Domain aligned
36,269,0.77,0.1712,0.8133,0.5392,SAP match | SQL match | Snowflake match | Seniority compatible | Language compatible | Rate within budget | Sector sante | Domain aligned
36,254,0.72,0.1523,0.8733,0.5236,SAP match | SQL match | Language compatible | Available in 30 days | Rate within budget | Sector sante | Domain aligned
36,323,0.83,0.1674,0.5833,0.5156,SAP match | SQL match | Snowflake match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
36,193,0.69,0.1547,0.88,0.5139,GCP match | SAP match | SQL match | Seniority compatible | Language compatible | Rate within budget | Sector sante | Domain aligned
36,286,0.91,0.0346,0.6167,0.5012,GCP match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector sante
37,336,0.97,0.109,0.94,0.6196,C# match | DevOps match | Java match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector energie | Domain aligned
37,274,0.83,0.1227,1.0,0.5811,C# match | Java match | Python match | Seniority compatible | Available in 15 days | Rate within budget | Sector energie | Domain aligned
37,3,0.86,0.118,0.82,0.5552,C# match | Java match | Python match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector energie | Domain aligned
37,31,0.84,0.0397,1.0,0.5519,C# match | Python match | SQL match | Language compatible | Available in 15 days | Rate within budget | Sector energie | Domain aligned
37,255,1.0,0.0761,0.59,0.5484,Python match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector energie
37,45,0.97,0.0679,0.65,0.5451,Python match | dbt match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector energie
37,147,0.9475,0.0401,0.75,0.545,C# match | Python match | SQL match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector energie
37,203,0.97,0.0395,0.69,0.5418,Python match | SQL match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector energie
37,248,0.9775,0.0852,0.49,0.5231,DevOps match | dbt match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector energie
37,276,0.871,0.0658,0.7337,0.5215,Java match | SQL match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Sector energie | Domain aligned
38,110,0.9475,0.2778,0.7424,0.6386,AWS match | Azure match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
38,223,0.9275,0.1867,0.9067,0.627,AWS match | Docker match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector public | Domain aligned
